first_name,last_name,order_date,order_amount
David,Olson,2024-01-26,7168.16
David,Munoz,2023-08-09,7571.73
Maria,Prince,2023-04-06,9266.33
Kimberly,Banks,2026-04-20,1233.07
Alexa,Wood,2025-07-11,4574.42
Bradley,Moreno,2026-04-21,9561.94
Jerome,Lang,2023-10-03,9638.57
Kristine,James,2023-01-09,5304.11
Brianna,Figueroa,2023-04-10,5532.70
Kathleen,Horton,2025-06-05,8388.31
Connor,Anderson,2025-09-16,9243.78
Thomas,Hall,2023-12-29,6918.48
Michele,Campbell,2023-12-22,7305.21
Nancy,Ortiz,2023-09-20,1036.44
Jacob,Fletcher,2026-05-14,6062.00
Kristine,Lane,2024-10-21,5041.59
David,Smith,2025-02-26,4187.22
Diamond,Watts,2026-06-01,9159.18
Leslie,Cox,2024-05-23,2736.68
Eric,Pearson,2024-12-03,9704.94
Jon,Wyatt,2025-07-16,8048.16
Rodney,Diaz,2023-10-10,4128.04
Joshua,Becker,2025-11-15,2989.83
Kari,Gutierrez,2026-01-26,8607.21
Kristen,Olson,2026-02-07,6326.19
Mitchell,Peters,2024-02-16,2097.92
Jon,Parker,2024-08-18,6866.42
Maxwell,Thornton,2023-09-29,9813.36
Jill,Wyatt,2026-08-24,9751.81
Donna,Adkins,2023-12-31,5039.43
Sean,Lyons,2026-07-28,3224.49
Evan,Lewis,2023-08-25,7607.98
Richard,Morgan,2026-02-25,4804.21
Andrea,Terry,2026-03-14,9426.78
Jasmine,Martin,2025-05-04,6742.75
Tamara,Smith,2025-12-29,2859.99
Christopher,Thomas,2025-05-15,8083.23
Sara,Graham,2025-12-06,1065.60
Caleb,Walker,2025-02-19,1454.12
Christopher,Johnson,2023-04-26,1999.82
Patrick,Joyce,2023-11-26,9835.33
Christina,Meyer,2024-05-28,1465.14
Jennifer,Harper,2023-05-08,6906.25
Sonya,Wilkins,2024-08-27,2040.80
Danielle,Gonzales,2026-01-13,324.03
James,Sandoval,2025-07-15,1025.70
Linda,Mitchell,2026-02-24,8648.54
Arthur,Greene,2026-08-18,5613.14
Zachary,Hall,2024-05-01,5109.71
Gavin,Johnson,2024-08-12,6929.66
John,Smith,2023-04-07,9264.91
Eric,Shea,2025-03-04,4166.24
Kimberly,Gomez,2024-10-02,9658.36
Randall,Willis,2023-04-21,130.64
April,Mclaughlin,2024-05-29,2031.67
Casey,Davis,2025-06-26,8300.00
Justin,Gallegos,2026-07-21,7046.58
Robyn,Bailey,2026-08-19,3678.04
Sylvia,Hill,2026-04-20,5466.60
Catherine,Lee,2026-05-20,1965.49
Sarah,Andrews,2024-02-01,2942.48
Jose,Russell,2023-12-30,9834.54
Daniel,Jones,2023-06-02,1870.58
Kelly,Arroyo,2023-12-22,7351.05
Leah,Frye,2023-09-02,3772.60
Nancy,Li,2025-05-27,2791.84
Bailey,Benson,2024-06-25,1301.53
Tammy,Hart,2026-04-11,8460.29
Kayla,Todd,2023-01-12,3306.29
Susan,Ellis,2023-11-14,400.37
Steven,Matthews,2024-10-22,5969.20
Anthony,Wilson,2026-07-04,6156.46
Carlos,Schultz,2024-09-08,4906.01
Virginia,Rhodes,2026-03-18,5502.05
Jerry,Stewart,2023-05-30,7840.52
Stephanie,Black,2024-10-12,5254.42
Alec,Collier,2024-01-12,5206.54
John,Davis,2025-10-31,1594.54
Emily,Nicholson,2026-01-17,5370.82
Charles,Velazquez,2023-07-08,3494.68
Thomas,Gomez,2024-03-12,6633.67
Patricia,Adams,2024-11-09,3608.61
Stacey,Vega,2024-03-23,9503.12
Renee,Porter,2026-06-20,5305.45
James,Moss,2026-02-23,8237.05
Monique,Clark,2026-08-22,89.03
James,Wright,2024-12-09,4457.22
Christine,Moore,2026-08-08,6137.39
Daniel,Mora,2026-06-26,2439.03
Emma,Alvarado,2023-03-23,6825.82
Christina,Duran,2024-10-19,3814.34
Amber,Williams,2023-08-21,3859.37
Timothy,Oliver,2026-01-11,7240.02
Travis,Galloway,2023-02-20,9113.44
Penny,Melton,2025-02-06,5143.57
Travis,Joyce,2025-11-07,4456.12
Sabrina,Ramirez,2023-03-31,2965.04
Jeffrey,Ray,2026-08-27,1925.93
Brian,Lloyd,2025-11-18,824.37
Timothy,Fernandez,2023-07-16,1674.78
Wayne,Long,2026-01-06,5332.52
Gina,Thompson,2026-07-07,655.65
Tiffany,Wolfe,2026-07-13,7736.04
Steve,Norris,2025-05-18,8356.81
Alexander,Clark,2024-02-26,5378.00
Bianca,Nguyen,2025-06-10,6465.96
Chloe,Green,2023-05-28,7469.15
Amy,Young,2023-11-11,238.51
Thomas,Austin,2024-11-10,379.82
Michael,Jimenez,2023-05-31,543.63
Jason,Haynes,2024-05-30,5581.28
Nathan,Dickerson,2026-03-23,8216.36
Joshua,White,2024-06-13,4076.92
David,Johnston,2025-07-12,6302.54
Jeremy,Garcia,2025-06-05,3164.72
Joseph,Young,2025-03-08,6733.31
Ryan,James,2025-12-31,59.98
Dustin,Haley,2026-06-20,633.31
Edward,Shaffer,2026-04-14,456.12
Gregory,Porter,2023-05-29,3577.64
Wendy,Atkinson,2025-10-26,1062.25
Zachary,Le,2024-09-09,6066.05
Kristen,Evans,2024-07-30,7652.97
Anna,Bradley,2025-06-15,3814.75
Raymond,Vaughn,2023-03-05,4740.40
Brian,Cervantes,2025-12-28,2199.44
Thomas,Soto,2025-03-11,7967.90
Shannon,Cook,2026-01-22,2950.49
Michael,Castro,2026-07-22,1441.61
Sarah,Scott,2026-08-19,3731.93
Andrew,Martinez,2023-01-23,5535.68
Michelle,Mccarty,2026-02-10,1414.60
James,Johnston,2023-03-27,51.29
Debra,Thompson,2026-05-06,3941.42
Kimberly,Kelly,2026-01-26,9469.84
Emily,Freeman,2024-09-16,2101.32
Jill,Preston,2024-12-05,2118.16
Patrick,Mitchell,2026-08-15,8514.73
Crystal,Thomas,2023-10-19,1610.38
Gary,Morton,2024-03-28,6169.23
Matthew,Welch,2024-06-01,1944.07
Ashley,Sweeney,2024-01-07,6710.10
Charles,Martin,2026-03-07,8522.65
Jeremy,Stewart,2026-01-29,4613.19
Kelly,Adams,2026-01-30,732.37
Deanna,Nelson,2023-05-18,2507.62
Sean,Roy,2024-02-09,7256.16
Michael,Matthews,2025-09-24,9515.44
Tammy,Gutierrez,2025-01-01,1283.02
Ivan,Johnson,2024-04-25,1001.35
Jessica,Stanley,2026-06-22,699.02
Shelby,Haynes,2024-02-01,3178.54
Christopher,Jackson,2025-07-11,3284.13
Dakota,Brown,2024-09-18,6934.88
Natasha,Kelley,2023-11-09,5655.95
Anthony,Sanders,2025-01-16,8077.18
Kathy,Miller,2025-05-27,1687.22
Jose,Moore,2024-10-03,2462.50
Diana,Mcclure,2024-03-29,7122.27
Kyle,Wright,2026-08-05,4361.80
Justin,Sims,2025-01-06,1343.92
David,Roberson,2024-11-10,8778.97
Anthony,Alvarado,2025-08-05,4454.13
Michelle,Nguyen,2024-09-17,4870.22
Thomas,Proctor,2023-08-11,1758.52
Amber,Nelson,2026-05-27,820.65
Sean,Montes,2024-07-28,8587.27
Heidi,Thompson,2023-10-14,8913.07
Carla,Welch,2024-02-07,2633.08
Cynthia,Elliott,2026-07-07,765.55
Alexandra,Fowler,2023-06-04,8921.15
Kyle,Reed,2025-11-04,6316.63
Amber,Ballard,2026-04-06,5789.42
Scott,Diaz,2026-04-23,2128.39
Jordan,Torres,2023-03-17,5516.38
Aaron,Ochoa,2026-01-18,8939.96
Melanie,Cooper,2026-01-10,4721.56
Taylor,Smith,2023-11-01,3658.82
Sandra,Arroyo,2024-04-02,8914.48
Thomas,Smith,2026-04-22,7332.53
Russell,Carter,2024-08-18,1339.68
Jerry,Smith,2025-10-23,5104.60
Nathaniel,Jenkins,2025-03-23,3639.29
Ann,Foster,2023-01-22,6627.12
Frank,Mclaughlin,2026-06-11,6841.93
Peter,Gray,2025-11-18,1404.57
Jose,Henderson,2023-11-23,1792.27
John,Duran,2026-03-04,6594.47
Renee,Aguirre,2023-10-27,7359.45
Gail,Mitchell,2025-09-17,9391.80
Julia,Lamb,2023-03-24,2188.97
Robert,Castaneda,2025-09-25,2318.27
Ian,Roberts,2024-06-25,3694.98
Dana,Williamson,2023-03-29,6686.18
Joseph,Dean,2025-11-26,9077.34
Jacob,Smith,2025-01-09,3881.54
Brandon,Nichols,2025-07-20,8815.63
Jacob,Garcia,2023-03-23,9805.91
Joseph,Espinoza,2024-10-25,1033.15
Jessica,Hall,2025-12-03,6336.03
Edward,Snyder,2024-07-14,8348.88
Matthew,Collins,2024-06-23,5786.73
Lauren,Bolton,2026-03-13,1739.32
Steven,Moody,2025-02-14,3653.60
Mark,Bridges,2023-06-09,5167.11
Stephanie,Brown,2025-02-09,9726.76
Kimberly,Jones,2024-04-01,5164.20
Theodore,Lee,2024-12-23,8172.54
Mckenzie,Roth,2024-12-07,4869.12
Maria,Martinez,2025-09-14,8871.82
Kayla,Wright,2023-01-14,5018.86
Kelsey,Ramos,2023-10-12,4399.54
Joan,Johnson,2024-04-16,771.80
Steven,Wise,2026-08-10,2808.81
Adriana,Hendrix,2023-11-04,1869.87
Thomas,Maldonado,2025-01-11,6020.59
Larry,Morris,2023-08-31,6611.43
Crystal,Williams,2025-04-29,8111.91
Sharon,Meyer,2023-08-21,4815.68
Jon,Little,2025-09-07,4790.73
James,Clay,2026-04-24,1613.30
Michelle,Robinson,2025-04-21,225.44
Daniel,Chen,2023-03-30,1279.72
Mark,Jackson,2026-04-28,1612.13
Joshua,Wilson,2026-07-13,5126.91
Kristina,Smith,2026-03-18,1469.50
Bobby,Logan,2023-12-07,2583.34
Thomas,Carlson,2024-01-04,5166.89
Nathan,Davis,2025-04-10,5993.97
Eric,Davis,2026-02-28,6376.58
Christine,Galvan,2024-08-03,9472.58
Wendy,Garrett,2024-03-19,4492.58
Brian,Newman,2025-08-23,8673.15
Jacqueline,Moody,2023-12-16,2194.42
David,Hall,2025-04-21,6008.78
Tina,Kramer,2026-04-08,8204.70
Katherine,Trujillo,2024-01-08,6232.49
Samuel,Lee,2025-11-12,2645.94
Hannah,Howard,2024-12-02,9223.59
Dennis,Roach,2026-05-06,5906.36
Todd,Kim,2024-04-15,3782.73
Kenneth,Terry,2023-09-28,1086.59
James,Lopez,2024-02-19,5227.59
Michael,Oconnor,2025-10-29,6843.99
Joshua,Guerra,2023-11-03,6055.50
